name,rating,reviews,salary,interviews,jobs
JP Morgan Chase,4.2,4.7k Reviews,59.2k Salaries,383 Interviews,1.1k Jobs
FIS,3.9,4.6k Reviews,37.1k Salaries,286 Interviews,65 Jobs
Hindustan Unilever,4.2,4.6k Reviews,20.5k Salaries,229 Interviews,188 Jobs
Quess,4.0,4.6k Reviews,22.1k Salaries,254 Interviews,239 Jobs
Amazon Development Centre India,4.2,4.6k Reviews,5k Salaries,348 Interviews,30 Jobs
IIFL Finance,3.9,4.6k Reviews,17.3k Salaries,207 Interviews,149 Jobs
Hexaware Technologies,3.7,4.4k Reviews,41.2k Salaries,362 Interviews,389 Jobs
Sun Pharmaceutical Industries,4.1,4.3k Reviews,19.5k Salaries,224 Interviews,110 Jobs
Home Credit Finance,4.1,4.2k Reviews,11.7k Salaries,92 Interviews,98 Jobs
JSW Steel,3.9,4.2k Reviews,22.5k Salaries,332 Interviews,66 Jobs
Ujjivan Small Finance Bank,4.1,4.2k Reviews,12.4k Salaries,144 Interviews,19 Jobs
Oracle,3.9,4.1k Reviews,49.1k Salaries,497 Interviews,185 Jobs
Max Life Insurance,4.1,4.1k Reviews,15.4k Salaries,179 Interviews,354 Jobs
Shapoorji Pallonji Group,4.2,4.1k Reviews,15.1k Salaries,223 Interviews,32 Jobs
KPMG India,3.6,4.1k Reviews,55k Salaries,480 Interviews,455 Jobs
OPPO,3.9,4.1k Reviews,13.7k Salaries,162 Interviews,10 Jobs
Aurobindo Pharma,4.0,4.1k Reviews,21.4k Salaries,164 Interviews,5 Jobs
Muthoot Finance,3.5,4.1k Reviews,11.6k Salaries,154 Interviews,319 Jobs
eClerx,3.5,4k Reviews,26k Salaries,291 Interviews,140 Jobs
Capgemini Technology Services India Limited,4.0,4k Reviews,41.9k Salaries,347 Interviews,2 Jobs
Ashok Leyland,4.1,4k Reviews,18.4k Salaries,149 Interviews,3 Jobs
Shriram Transport Finance,4.1,4k Reviews,8.6k Salaries,147 Interviews,-- Jobs
Tata Projects,4.2,4k Reviews,18.9k Salaries,254 Interviews,36 Jobs
Siemens,4.2,4k Reviews,26.7k Salaries,237 Interviews,1.3k Jobs
Apollo Hospitals,4.1,4k Reviews,17.2k Salaries,189 Interviews,61 Jobs
Vivo,4.0,3.9k Reviews,14.1k Salaries,141 Interviews,5 Jobs
JLL,4.2,3.9k Reviews,19k Salaries,197 Interviews,45 Jobs
L&T Construction,4.0,3.8k Reviews,13.3k Salaries,417 Interviews,-- Jobs
First Source,3.8,3.8k Reviews,20k Salaries,170 Interviews,125 Jobs
JustDial,3.5,3.8k Reviews,15.1k Salaries,218 Interviews,120 Jobs
Hero MotoCorp,4.1,3.8k Reviews,14k Salaries,241 Interviews,7 Jobs
Omega Healthcare,3.7,3.7k Reviews,19.3k Salaries,202 Interviews,97 Jobs
Hewlett-Packard Enterprise,4.3,3.7k Reviews,30.8k Salaries,171 Interviews,61 Jobs
Megha Engineering & Infrastructures,4.0,3.7k Reviews,13.9k Salaries,271 Interviews,15 Jobs
Mahindra & Mahindra Financial Services,4.3,3.6k Reviews,10.1k Salaries,89 Interviews,61 Jobs
Bajaj Allianz Life Insurance,4.1,3.6k Reviews,14k Salaries,188 Interviews,36 Jobs
Cyient,3.7,3.6k Reviews,24.7k Salaries,167 Interviews,273 Jobs
ICICI Lombard General Insurance Company,3.8,3.5k Reviews,16k Salaries,153 Interviews,170 Jobs
D Mart,3.9,3.5k Reviews,13.6k Salaries,225 Interviews,80 Jobs
Indiamart Intermesh,3.6,3.5k Reviews,16.6k Salaries,349 Interviews,876 Jobs
Hyundai Motor,4.3,3.5k Reviews,13.3k Salaries,176 Interviews,17 Jobs
BigBasket,4.0,3.5k Reviews,14.6k Salaries,238 Interviews,17 Jobs
TVS Motor,4.0,3.4k Reviews,13.9k Salaries,190 Interviews,261 Jobs
Reliance Communications,3.9,3.4k Reviews,12.9k Salaries,60 Interviews,2 Jobs
Atos Syntel,3.5,3.3k Reviews,34.2k Salaries,176 Interviews,47 Jobs
UST,3.9,3.3k Reviews,33.1k Salaries,256 Interviews,131 Jobs
Bosch,4.3,3.3k Reviews,18k Salaries,202 Interviews,10 Jobs
Manappuram Finance,3.9,3.3k Reviews,7.8k Salaries,95 Interviews,12 Jobs
Standard Chartered Bank,3.9,3.3k Reviews,24.6k Salaries,117 Interviews,30 Jobs
Bosch Global Software Technologies,4.2,3.3k Reviews,30.4k Salaries,195 Interviews,16 Jobs
Oyo Rooms,3.4,3.3k Reviews,25k Salaries,157 Interviews,173 Jobs
Coforge,3.6,3.3k Reviews,29.5k Salaries,252 Interviews,181 Jobs
SBI Cards & Payment Services,3.7,3.3k Reviews,15.5k Salaries,160 Interviews,93 Jobs
Cummins,4.4,3.3k Reviews,14.5k Salaries,171 Interviews,48 Jobs
Virtusa Consulting Services,3.8,3.3k Reviews,43.2k Salaries,276 Interviews,109 Jobs
Nagarro,4.2,3.2k Reviews,18.8k Salaries,411 Interviews,68 Jobs
BNY Mellon,4.1,3.2k Reviews,26.1k Salaries,182 Interviews,489 Jobs
IQVIA,4.1,3.2k Reviews,23.2k Salaries,258 Interviews,34 Jobs
GlobalLogic,3.8,3.2k Reviews,28.5k Salaries,283 Interviews,84 Jobs
BT Group,4.1,3.2k Reviews,10.4k Salaries,89 Interviews,19 Jobs
SMFG India Credit,4.1,3.2k Reviews,10.2k Salaries,86 Interviews,4 Jobs
Amdocs,4.0,3.2k Reviews,30.3k Salaries,323 Interviews,10 Jobs
Schneider Electric,4.1,3.2k Reviews,19.1k Salaries,195 Interviews,181 Jobs
Future Group,4.3,3.1k Reviews,12.5k Salaries,65 Interviews,22 Jobs
CBRE,4.2,3.1k Reviews,15k Salaries,142 Interviews,120 Jobs
Intelenet Global Services,3.7,3.1k Reviews,9.2k Salaries,33 Interviews,-- Jobs
Cholamandalam Investment & Finance,4.1,3.1k Reviews,9.3k Salaries,98 Interviews,19 Jobs
L&T Technology Services,3.4,3.1k Reviews,28k Salaries,244 Interviews,2 Jobs
State Bank of India,3.7,3.1k Reviews,10.3k Salaries,149 Interviews,183 Jobs
Dell,4.1,3k Reviews,24k Salaries,231 Interviews,82 Jobs
Swiggy,3.9,3k Reviews,17.9k Salaries,229 Interviews,379 Jobs
JBM Group,4.0,3k Reviews,13k Salaries,171 Interviews,1 Jobs
Ecom Express,4.1,3k Reviews,8.5k Salaries,126 Interviews,64 Jobs
Ekart Logistics,4.0,3k Reviews,7.6k Salaries,192 Interviews,-- Jobs
SBI Life Insurance Company,3.8,3k Reviews,9.9k Salaries,146 Interviews,7 Jobs
Bajaj Auto,3.9,3k Reviews,12.7k Salaries,174 Interviews,3 Jobs
Optum,4.0,2.9k Reviews,21.3k Salaries,252 Interviews,25 Jobs
Nagarjuna Construction Company,4.1,2.9k Reviews,10.1k Salaries,185 Interviews,6 Jobs
